taxid,CDS,CDS-length,exon,exon-length,gene,gene-length,mRNA,mRNA-length
1028729,35442,511.9164551,35442,511.9164551,12486,1604.472049,12397,1613.146487
1037660,22200,479.802973,22694,545.9394994,6872,2009.520081,6808,2027.448737
1041607,7870,1242.419314,7870,1242.419314,6702,1489.745598,6702,1489.745598
1043004,26589,523.9442627,26589,523.9442627,10259,1486.717711,10259,1486.717711
1043005,26439,554.8786641,27094,612.2394257,10792,1644.189956,10792,1644.189956
1064592,5795,1436.062985,6136,1361.366362,5870,1430.668995,5592,1496.023426
1069680,21735,229.8481712,22085,241.5246095,3675,1692.213061,3623,1713.667679
1071378,5721,1507.522461,6051,1429.595935,5816,1495.385316,5548,1563.025415
1071380,5556,1576.890029,5964,1474.974514,5725,1542.392838,5388,1632.002598
1071381,5407,1487.690401,5659,1425.124934,5463,1484.72268,5253,1539.906339
1071382,5579,1407.906614,5903,1334.928511,5649,1401.261462,5378,1466.899219
1072389,34774,429.9395813,34774,429.9395813,10027,1783.405006,10027,1783.405006
1076696,7853,1023.067999,7869,1023.418859,6193,1319.910383,6187,1321.099079
1080349,5484,1467.690737,5978,1351.894614,5688,1426.567159,5377,1503.3939
1081104,25862,566.0346454,25862,566.0346454,10061,1602.371136,10061,1602.371136
1093141,8853,358.5763018,9090,395.6348735,3558,1361.955874,3554,1362.131683
110365,9648,908.6446932,9879,889.273307,6606,1392.578262,6375,1440.347922
1116229,38836,485.7943661,38836,485.7943661,13083,1594.388978,13083,1594.388978
1120755,14552,678.2921248,15791,669.7700589,5776,2184.611669,5716,2201.233555
112090,125014,292.0073032,129725,328.7140335,19584,1838.608762,26259,2159.736243
1130832,50966,255.7788526,51108,255.7536002,8171,1993.532615,8170,1993.486536
1133968,11701,396.9958978,11759,396.0112254,3552,1451.866273,3489,1473.16509
1136231,6061,1398.436562,6170,1379.151702,5785,1480.08038,5699,1500.259695
1156394,77985,341.6118356,78951,363.8079062,17448,1735.022639,18229,1771.490153
1168221,26296,512.9034454,26359,511.971964,9367,1587.873492,9309,1597.011172
1170230,24016,510.5942288,24016,510.5942288,8946,1503.689694,8946,1503.689694
1178016,1864,1045.9603,1916,1019.708768,1883,1038.129049,1831,1065.339159
1182541,20469,682.9189506,20473,683.3952523,9231,1611.763623,9231,1611.763623
1182542,24161,640.8021191,24167,641.1919974,10469,1592.341198,10469,1592.341198
1182543,31585,597.700839,31600,598.6359494,13421,1508.300648,13421,1508.300648
1182544,22079,668.049187,22092,668.5345374,10118,1544.085491,10118,1544.085491
1182545,29197,624.3958283,29263,625.617435,13118,1484.787696,13118,1484.787696
1186058,26134,473.1504171,26646,465.5286722,8834,1601.019131,8300,1697.146627
1213859,46329,473.0033025,46118,473.0067653,15469,1576.947702,15381,1578.847994
1220924,22772,713.2642719,22831,711.7029477,11153,1528.57563,11094,1536.125654
1229662,42520,536.5984008,42520,536.5984008,15413,1619.248686,15413,1619.248686
1230383,6971,772.1335533,6568,773.6103837,3517,1593.109184,3318,1595.20645
1237626,13974,809.0195363,14021,806.8393125,5879,2213.05222,5832,2229.618999
1257118,105766,186.663805,105766,186.6638239,15655,2021.329224,14974,1970.756445
1263415,23517,625.362036,23517,625.362036,9238,1765.566898,9238,1765.566898
126793,13336,844.5828584,13708,930.3114969,5506,2611.528696,5389,2607.584338
1276141,27640,574.6482634,27640,574.6482634,10689,1619.889606,10689,1619.889606
1276143,29064,582.177436,29064,582.177436,11535,1596.939749,11535,1596.939749
1277687,19288,658.1491083,19288,658.1491083,6877,2099.91886,6877,2099.91886
1279043,23103,660.9286673,23158,659.612704,10428,1555.216437,10373,1562.896655
1284197,36264,469.9100485,36264,469.9100485,10959,1805.669313,10959,1805.669313
1286976,24561,478.9069256,24561,478.9069256,8834,1511.796015,8834,1511.796015
1287680,32758,404.3416265,32758,404.3416265,10366,1531.459965,10366,1531.459965
1287681,33978,445.862617,33978,445.862617,11685,1531.710826,11685,1531.710826
1295528,43906,272.4560425,44126,271.5800208,8314,1698.371542,8094,1741.906103
1295533,57810,262.803598,60290,293.2288605,8503,1870.45431,10306,1996.071318
1296096,48605,249.476453,48707,249.1675529,7931,1918.496911,7829,1942.164006
1296100,55322,241.4132172,55459,241.0752808,9270,1871.289536,9133,1897.790868
1296121,51909,254.8311276,52031,254.4761584,8724,1956.243696,8602,1982.521507
1296122,52351,241.3726385,52484,241.0248076,8555,1902.211923,8422,1930.607457
12968,24220,267.8236994,24577,279.9936526,6020,1295.838372,6020,1295.838372
1299270,16626,424.6317214,16763,421.926982,5000,1558.2164,4863,1599.475015
1305764,10953,1138.172282,11100,1124.908919,7619,1833.46489,7472,1866.847029
