taxid,assembler
1000373,unknown
100053,Velvet
1000561,unknown
1000562,CAP3
1000562,CLC
1000562,Newbler
1000565,Newbler
1000568,Newbler
1000569,Newbler
1000570,Allpaths
1000570,Newbler
1000570,SPAdes
1000570,Velvet
1000585,unknown
1000588,Newbler
1000589,Newbler
1000935,Newbler
1000936,Newbler
1000937,Newbler
1000938,Newbler
1000939,Newbler
1000951,Velvet
1000952,Velvet
1000953,Velvet
1001240,Newbler
1001263,unknown
1001530,GS
1001533,unknown
1001534,unknown
1001542,unknown
1001582,unknown
1001583,unknown
1001585,unknown
1001586,Celera
1001587,Celera
1001588,Celera
1001589,Celera
1001591,Celera
1001592,Celera
1001593,Celera
1001595,Celera
1001596,Celera
1001602,CLC
1001603,CLC
1001704,Celera
1001705,Celera
1001706,Celera
1001707,Celera
1001708,Celera
1001709,Celera
1001710,Celera
1001711,Celera
1001712,Celera
1001713,Celera
1001714,CLC
1001714,Celera
1001714,unknown
1001715,Celera
1001716,Celera
1001717,Celera
1001718,Celera
1001719,Celera
1001720,Celera
1001721,Celera
1001722,Celera
1001723,Celera
1001724,Celera
1001725,Celera
1001726,Celera
1001727,Celera
1001728,Celera
1001729,Celera
1001730,Celera
1001731,Celera
1001732,Celera
1001733,Celera
1001734,Celera
1001735,Celera
1001736,Celera
1001737,Celera
1001738,Celera
1001739,Celera
1001740,Celera
1001741,Celera
1001744,Velvet
1001745,Velvet
1001746,Velvet
1001747,Velvet
1001986,CLC
1001987,CLC
1001988,Velvet
1001989,unknown
1001991,Velvet
1001994,CLC
10020,Allpaths
10020,Atlas
100217,unknown
100225,unknown
100226,unknown
1002273,unknown
1002339,Newbler
1002340,CLC
1002364,Velvet
1002365,Velvet
1002366,Velvet
1002367,Velvet
1002368,Velvet
1002369,Velvet
1002672,unknown
1002724,unknown
1002725,unknown
1002804,unknown
1002809,unknown
1002918,unknown
1002921,unknown
10029,SOAPdenovo
1003110,IDBA_UD
1003177,unknown
1003186,Newbler
1003189,Newbler
1003191,unknown
1003195,unknown
1003200,GSAssembler
1003201,unknown
1003202,unknown
1003237,Newbler
1003238,unknown
10036,Allpaths
1003891,unknown
1004049,unknown
1004149,GS
1004151,Newbler
1004152,Newbler
1004153,CLC
1004153,Newbler
1004316,Newbler
1004326,Newbler
1004785,unknown
1004786,unknown
1004787,unknown
1004788,unknown
100480,Paracel
1004836,Newbler
1004836,SOAPdenovo
1004951,unknown
1004952,unknown
1004953,ClC
1004954,unknown
1004954,SOAPdenovo
1004955,SOAPdenovo
1004956,SOAPdenovo
1004957,SOAPdenovo
1004,unknown
1005041,unknown
1005042,unknown
1005043,Newbler
1005048,unknown
1005056,unknown
1005057,unknown
1005058,unknown
1005090,unknown
1005394,SPAdes
1005395,Newbler
1005396,Velvet
1005397,Velvet
1005398,Velvet
1005399,Velvet
1005400,Velvet
1005401,Velvet
1005402,Velvet
1005403,Velvet
1005404,Velvet
1005405,Velvet
1005406,Velvet
1005407,Velvet
1005408,Velvet
1005410,Velvet
1005411,Velvet
1005412,Velvet
1005413,Velvet
1005414,Velvet
1005415,Velvet
1005416,Celera
1005418,Celera
1005419,Velvet
1005420,Celera
1005421,Velvet
1005422,Celera
1005423,Celera
1005424,Celera
1005430,Celera
1005431,Celera
1005432,Celera
1005433,Celera
1005434,Celera
