name,taxid
cellular organisms,131567
Bacteria,2
Actinobacteria,201174
Actinobacteria,1760
Micromonosporales,85008
Micromonosporaceae,28056
Micromonospora,1873
Verrucosispora,84593
Salinispora,168694
Actinoplanes,1865
Catenuloplanes,33874
Dactylosporangium,35753
Asanoa,195964
Hamadaea,1121254
Pilimelia,53370
Couchioplanes,56433
Longispora,203522
Catelliglobosispora,1121253
Actinocatenispora,390988
Streptomycetales,85011
Streptomycetaceae,2062
Streptomyces,1883
Kitasatospora,2063
Streptacidiphilus,228398
Pseudonocardiales,85010
Pseudonocardiaceae,2070
Amycolatopsis,1813
Saccharopolyspora,1835
Pseudonocardia,1847
Saccharomonospora,1851
Streptoalloteichus,2016
Kibdelosporangium,2029
Saccharothrix,2071
Sciscionella,596495
Kutzneria,43356
Actinomycetospora,402649
Prauserella,142577
Lentzea,165301
Actinokineospora,39845
Alloactinosynnema,674734
Lechevalieria,166974
Thermocrispum,37924
Actinoalloteichus,65496
Actinosynnema,40566
Actinophytocola,695999
Allokutzneria,1137960
Crossiella,130795
Micrococcales,85006
Micrococcaceae,1268
Micrococcus,1269
Arthrobacter,1663
Kocuria,57493
Renibacterium,1645
Rothia,32207
Enteractinococcus,1164863
Nesterenkonia,57494
Pseudarthrobacter,1742993
Sinomonas,596707
Paenarthrobacter,1742992
Tersicoccus,1418588
Acaricomes,291967
Neomicrococcus,1868332
Citricoccus,169133
Paeniglutamicibacter,1742990
Pseudoglutamicibacter,1742991
Glutamicibacter,1742989
Haematomicrobium,1930924
Yaniella,225447
Cellulomonadaceae,85016
Cellulomonas,1707
Oerskovia,162491
Paraoerskovia,665568
Actinotalea,458839
Intrasporangiaceae,85021
Janibacter,53457
Serinicoccus,265976
Knoellia,136099
Arsenicicoccus,267408
Phycicoccus,367298
Tetrasphaera,99479
Intrasporangium,53357
Humibacillus,556178
Terrabacter,53355
Kribbia,331525
Monashia,1755676
Terracoccus,68903
Ornithinimicrobium,125287
Dermabacteraceae,85020
Brachybacterium,43668
Dermabacter,36739
Devriesea,472568
Helcobacillus,1161125
Jonesiaceae,85022
Jonesia,43673
Dermacoccaceae,145357
Dermacoccus,57495
Kytococcus,57499
Luteipulveratus,745364
Demetria,63958
Microbacteriaceae,85023
Clavibacter,1573
Leifsonia,110932
Microbacterium,33882
Curtobacterium,2034
Agromyces,33877
Rhodoluna,529883
Candidatus Aquiluna,529881
Herbiconiux,881616
Leucobacter,55968
Pseudoclavibacter,255204
Cryobacterium,69578
Rathayibacter,33886
Gryllotalpicola,1195526
Frigoribacterium,96492
Agreia,110934
Plantibacter,190323
Microterricola,518733
Agrococcus,46352
Frondihabitans,447237
Yonghaparkia,355929
Cnuibacter,1759331
Humibacter,427753
Salinibacterium,235888
Okibacterium,196084
Mycetocola,76634
Glaciibacter,501022
Gulosibacter,256818
Cryocola,205841
Brevibacteriaceae,85019
Brevibacterium,1696
Promicromonosporaceae,85017
Cellulosimicrobium,157920
Krasilnikoviella,1914244
Isoptericola,254250
Promicromonospora,43676
Xylanimonas,186188
Dermatophilaceae,85018
Dermatophilus,1862
Austwickia,1184606
Piscicoccus,985001
Mobilicoccus,984996
Kineosphaera,211469
Tropheryma,2038
Sanguibacteraceae,145360
Sanguibacter,60919
Demequinaceae,1042322
Demequina,577469
Lysinimicrobium,1217415
Ruaniaceae,1331736
Ruania,626119
Timonella,1465824
Beutenbergiaceae,125316
Beutenbergia,84756
Propionibacteriales,85009
Nocardioidaceae,85015
Nocardioides,1839
Aeromicrobium,2040
Pimelobacter,2044
Marmoricola,86795
Actinopolymorpha,117156
Propionicicella,348581
Kribbella,182639
Propionibacteriaceae,31957
Propionibacterium,1743
Cutibacterium,1912216
Acidipropionibacterium,1912215
Pseudopropionibacterium,1912217
Aestuariimicrobium,396388
Granulicoccus,448176
Tessaracoccus,72763
Propionimicrobium,203133
Microlunatus,29404
Corynebacteriales,85007
Mycobacteriaceae,1762
Mycobacterium,1763
Hoyosella,697025
Nocardiaceae,85025
Rhodococcus,1827
Nocardia,1817
Smaragdicoccus,613121
Corynebacteriaceae,1653
Corynebacterium,1716
Turicella,144193
Gordoniaceae,85026
Gordonia,2053
Millisia,264147
Skermania,59613
Tsukamurellaceae,85028
Tsukamurella,2060
Tomitella,741759
Lawsonella,1847725
Dietziaceae,85029
Dietzia,37914
Segniliparaceae,316606
Segniliparus,286801
Williamsiaceae,182102
Williamsia,85043
Kineosporiales,622452
Kineosporiaceae,83778
Kineococcus,33981
Kineosporia,49184
Angustibacter,908626
Frankiales,85013
Frankiaceae,74712
Frankia,1854
Jatrophihabitans,1434010
Cryptosporangiaceae,622454
Cryptosporangium,65502
Sporichthyaceae,85033
Sporichthya,35750
Actinomycetales,2037
Actinomycetaceae,2049
Actinomyces,1654
Actinobaculum,76833
Trueperella,1069494
Mobiluncus,2050
Varibaculum,184869
Arcanobacterium,28263
Actinotignum,1653174
Flaviflexus,1522056
Bifidobacteriales,85004
Bifidobacteriaceae,31953
Gardnerella,2701
Bifidobacterium,1678
Parascardovia,196082
Alloscardovia,419014
Scardovia,196081
Glycomycetales,85014
Glycomycetaceae,85034
Haloglycomyces,651553
Stackebrandtia,283810
Glycomyces,58113
Actinopolysporales,622450
