,parentTaxid,taxid,assembler
15,33634,1093141,Newbler
16,33634,1093141,Velvet
24,33634,112090,allpaths
28,33634,1156394,ALLPATHS
61,33634,12968,
92,33634,157072,allpaths
127,33634,296543,
163,33634,403677,
177,33634,44056,JAZZ
207,33634,556484,
274,33634,67593,Arachne
281,33634,695850,Unknown
298,33634,761204,Allpaths
323,33634,944170,Gap
324,33634,944170,IDBA
325,33634,944170,Sspace
15,33634,1093141,Newbler
16,33634,1093141,Velvet
24,33634,112090,allpaths
28,33634,1156394,ALLPATHS
61,33634,12968,
92,33634,157072,allpaths
127,33634,296543,
163,33634,403677,
177,33634,44056,JAZZ
207,33634,556484,
274,33634,67593,Arachne
281,33634,695850,Unknown
298,33634,761204,Allpaths
323,33634,944170,Gap
324,33634,944170,IDBA
325,33634,944170,Sspace
24,4762,112090,allpaths
28,4762,1156394,ALLPATHS
92,4762,157072,allpaths
163,4762,403677,
274,4762,67593,Arachne
281,4762,695850,Unknown
298,4762,761204,Allpaths
163,4783,403677,
274,4783,67593,Arachne
298,4783,761204,Allpaths
274,67593,67593,Arachne
163,403677,403677,
298,761204,761204,Allpaths
24,4764,112090,allpaths
28,4764,1156394,ALLPATHS
92,4764,157072,allpaths
281,4764,695850,Unknown
28,4769,1156394,ALLPATHS
281,4769,695850,Unknown
281,695850,695850,Unknown
28,1156394,1156394,ALLPATHS
24,100860,112090,allpaths
92,100860,157072,allpaths
92,157072,157072,allpaths
24,112090,112090,allpaths
127,2836,296543,
207,2836,556484,
127,296543,296543,
207,556484,556484,
61,12967,12968,
323,12967,944170,Gap
324,12967,944170,IDBA
325,12967,944170,Sspace
61,12968,12968,
323,944170,944170,Gap
324,944170,944170,IDBA
325,944170,944170,Sspace
177,44056,44056,JAZZ
15,1093141,1093141,Newbler
16,1093141,1093141,Velvet
12,554915,1076696,Velvet
43,554915,1257118,Newbler
44,554915,1257118,Velvet
67,554915,13642,
78,554915,1410327,PCAP4
79,554915,1410327,Platanus
112,554915,261658,Newbler
113,554915,261658,STADEN
124,554915,294381,
149,554915,352472,
157,554915,370354,
158,554915,370355,Celera
228,554915,5786,Arachne
67,33083,13642,
78,33083,1410327,PCAP4
79,33083,1410327,Platanus
112,33083,261658,Newbler
113,33083,261658,STADEN
149,33083,352472,
228,33083,5786,Arachne
112,5782,261658,Newbler
113,5782,261658,STADEN
149,5782,352472,
228,5782,5786,Arachne
112,261658,261658,Newbler
113,261658,261658,STADEN
228,5786,5786,Arachne
149,352472,352472,
67,13642,13642,
78,1410327,1410327,PCAP4
79,1410327,1410327,Platanus
12,5758,1076696,Velvet
124,5758,294381,
157,5758,370354,
158,5758,370355,Celera
157,370354,370354,
158,370355,370355,Celera
124,294381,294381,
12,1076696,1076696,Velvet
43,1257118,1257118,Newbler
44,1257118,1257118,Velvet
17,33630,110365,Newbler
19,33630,1120755,GS
20,33630,1120755,PCR
21,33630,1120755,fosmid
22,33630,1120755,manual
23,33630,1120755,mapping
26,33630,1133968,
42,33630,1237626,allpaths
46,33630,126793,
97,33630,208452,
130,33630,312017,Celera
131,33630,31271,
139,33630,333668,
150,33630,352914,
151,33630,353151,
152,33630,353152,
154,33630,36329,
164,33630,412030,
169,33630,423536,
178,33630,441375,
181,33630,44415,
188,33630,484906,
198,33630,508771,Celera
201,33630,51315,
205,33630,54757,allpaths
219,33630,572307,
229,33630,5801,
230,33630,5802,
231,33630,5804,
232,33630,5823,
233,33630,5851,
234,33630,5854,GapFiller
235,33630,5854,PAGIT
236,33630,5854,Velvet
237,33630,5857,allpaths
239,33630,5866,
240,33630,5872,Celera
241,33630,5872,plus
242,33630,5874,
244,33630,5932,Celera
252,33630,647221,GapFiller
253,33630,647221,PAGIT
254,33630,647221,SSPACE
255,33630,647221,Velvet
308,33630,869250,
333,33630,99158,Newbler
17,5794,110365,Newbler
19,5794,1120755,GS
20,5794,1120755,PCR
21,5794,1120755,fosmid
22,5794,1120755,manual
23,5794,1120755,mapping
26,5794,1133968,
42,5794,1237626,allpaths
46,5794,126793,
97,5794,208452,
131,5794,31271,
139,5794,333668,
150,5794,352914,
151,5794,353151,
152,5794,353152,
154,5794,36329,
178,5794,441375,
181,5794,44415,
188,5794,484906,
198,5794,508771,Celera
201,5794,51315,
205,5794,54757,allpaths
219,5794,572307,
229,5794,5801,
230,5794,5802,
231,5794,5804,
232,5794,5823,
233,5794,5851,
234,5794,5854,GapFiller
235,5794,5854,PAGIT
236,5794,5854,Velvet
237,5794,5857,allpaths
239,5794,5866,
240,5794,5872,Celera
241,5794,5872,plus
242,5794,5874,
252,5794,647221,GapFiller
253,5794,647221,PAGIT
254,5794,647221,SSPACE
255,5794,647221,Velvet
308,5794,869250,
333,5794,99158,Newbler
19,422676,1120755,GS
20,422676,1120755,PCR
21,422676,1120755,fosmid
22,422676,1120755,manual
23,422676,1120755,mapping
26,422676,1133968,
42,422676,1237626,allpaths
46,422676,126793,
97,422676,208452,
131,422676,31271,
139,422676,333668,
150,422676,352914,
154,422676,36329,
188,422676,484906,
205,422676,54757,allpaths
232,422676,5823,
233,422676,5851,
234,422676,5854,GapFiller
235,422676,5854,PAGIT
236,422676,5854,Velvet
237,422676,5857,allpaths
239,422676,5866,
240,422676,5872,Celera
241,422676,5872,plus
242,422676,5874,
252,422676,647221,GapFiller
253,422676,647221,PAGIT
254,422676,647221,SSPACE
255,422676,647221,Velvet
308,422676,869250,
26,5863,1133968,
139,5863,333668,
188,5863,484906,
239,5863,5866,
240,5863,5872,Celera
241,5863,5872,plus
242,5863,5874,
308,5863,869250,
26,5864,1133968,
188,5864,484906,
239,5864,5866,
239,5866,5866,
188,484906,484906,
26,1133968,1133968,
139,5873,333668,
240,5873,5872,Celera
241,5873,5872,plus
242,5873,5874,
308,5873,869250,
240,5872,5872,Celera
241,5872,5872,plus
242,5874,5874,
139,333668,333668,
308,869250,869250,
19,5820,1120755,GS
20,5820,1120755,PCR
21,5820,1120755,fosmid
22,5820,1120755,manual
23,5820,1120755,mapping
42,5820,1237626,allpaths
46,5820,126793,
97,5820,208452,
131,5820,31271,
150,5820,352914,
154,5820,36329,
205,5820,54757,allpaths
232,5820,5823,
233,5820,5851,
234,5820,5854,GapFiller
235,5820,5854,PAGIT
236,5820,5854,Velvet
237,5820,5857,allpaths
252,5820,647221,GapFiller
253,5820,647221,PAGIT
254,5820,647221,SSPACE
255,5820,647221,Velvet
131,418101,31271,
150,418101,352914,
205,418101,54757,allpaths
232,418101,5823,
131,31271,31271,
232,5823,5823,
205,54757,54757,allpaths
150,352914,352914,
154,418107,36329,
234,418107,5854,GapFiller
235,418107,5854,PAGIT
236,418107,5854,Velvet
252,418107,647221,GapFiller
253,418107,647221,PAGIT
254,418107,647221,SSPACE
255,418107,647221,Velvet
252,647221,647221,GapFiller
253,647221,647221,PAGIT
254,647221,647221,SSPACE
255,647221,647221,Velvet
234,5854,5854,GapFiller
235,5854,5854,PAGIT
236,5854,5854,Velvet
154,36329,36329,
97,208452,208452,
19,418103,1120755,GS
20,418103,1120755,PCR
21,418103,1120755,fosmid
22,418103,1120755,manual
23,418103,1120755,mapping
42,418103,1237626,allpaths
46,418103,126793,
233,418103,5851,
237,418103,5857,allpaths
237,5857,5857,allpaths
42,1237626,1237626,allpaths
233,5851,5851,
46,126793,126793,
19,1120755,1120755,GS
20,1120755,1120755,PCR
21,1120755,1120755,fosmid
