taxid,gene,gene_length,exon,exon_length,mRNA,mRNA_length,CDS,CDS_length
1509403, 3057, 886.4802093555774, 75, 145.02666666666667, 1, 360.0, 2982, 905.1284372904091
1444042, 5799, 841.8189342990171, 190, 168.52631578947367, 1, 363.0, 5609, 864.6261365662328
1041138, 7090, 899.0667136812411, 55, 150.3272727272727, 1, 363.0, 7035, 904.9203980099503
1157379, 3424, 847.3560163551402, 60, 305.78333333333336, 1, 367.0, 3364, 857.0154577883472
1281238, 4980, 876.0536144578314, 95, 284.7473684210526, 1, 363.0, 4885, 887.5529170931422
1191305, 4905, 942.3249745158002, 21, 305.14285714285717, 1, 367.0, 4884, 945.064701064701
1413518, 2982, 828.3910127431254, 68, 325.8382352941176, 1, 362.0, 2914, 840.1183939601922
1981695, 6616, 957.5040810157195, 72, 206.86111111111111, 1, 394.0, 6544, 965.762988997555
940231, 19510, 855.4620707329575, 404, 135.16831683168317, 4, 363.0, 19106, 870.6928190097352
1438688, 5557, 870.1961490012596, 95, 223.07368421052632, 1, 363.0, 5462, 881.4514829732699
1310982, 4123, 868.5277710405045, 123, 117.90243902439025, 1, 360.0, 4000, 891.6095
1736231, 4462, 945.65172568355, 57, 163.94736842105263, 1, 373.0, 4405, 955.76685584563
267409, 3103, 864.5288430551079, 92, 246.2173913043478, 1, 370.0, 3011, 883.4211225506476
45243, 4746, 998.8173198482933, 113, 275.65486725663715, 2, 406.0, 4633, 1016.4554284480898
1394664, 5063, 903.847323721114, 22, 142.5909090909091, 1, 368.0, 5041, 907.1696092045229
1448412, 4288, 951.2798507462686, 51, 179.5686274509804, 1, 368.0, 4237, 960.5687986783101
294935, 5106, 951.5464159811986, 86, 141.8372093023256, 1, 368.0, 5020, 965.4179282868525
1412721, 2927, 826.6146224803554, 77, 307.8181818181818, 1, 362.0, 2850, 840.6312280701754
1388385, 3019, 817.9827757535608, 77, 233.11688311688312, 1, 362.0, 2942, 833.2902787219579
755930, 4424, 854.8903707052441, 32, 235.875, 1, 364.0, 4393, 859.2050990211701
1439090, 1846, 870.8548212351029, 68, 214.69117647058823, 1, 348.0, 1778, 895.9499437570304
1394668, 5056, 905.0005933544304, 21, 155.14285714285714, 1, 368.0, 5035, 908.1281032770606
1336205, 5267, 847.7195747104614, 89, 135.2808988764045, 1, 363.0, 5178, 859.9650444186944
1240761, 5572, 853.9384422110553, 107, 237.54205607476635, 1, 363.0, 5465, 866.0069533394327
67304, 8784, 988.7909836065573, 78, 157.47435897435898, 1, 387.0, 8706, 996.2390305536412
