name,taxid,total_length,total_gap_length,scaffold_count,scaffold_N50,contig_count,contig_N50
GCF_000001215.4,7227,143726002,1152978,0,0,2442,21485538
GCF_000001405.36,9606,3241953429,161368251,837,59364414,1497,56413054
GCF_000001515.7,9598,0,0,0,0,0,0
GCF_000001545.4,9601,3441244233,347678455,79342,747460,408552,15648
GCF_000001635.25,10090,2807715301,79356856,304,52589046,808,32273079
GCF_000001735.3,3702,119667750,185644,0,0,102,11194537
GCF_000001765.3,46245,0,0,0,0,0,0
GCF_000001895.5,10116,0,0,0,0,0,0
GCF_000001905.1,9785,3196738102,78195493,2352,46401353,95866,69023
GCF_000001985.1,441960,28643865,176385,452,3339384,589,541514
GCF_000002075.1,6500,0,0,0,0,0,0
GCF_000002195.4,7469,0,0,0,0,0,0
GCF_000002235.4,7668,0,0,0,0,0,0
GCF_000002265.2,10116,2616422528,123963010,7271,27430032,118432,39779
GCF_000002275.2,9258,1995607322,154534268,200283,958970,443981,11554
GCF_000002285.3,9615,0,0,0,0,0,0
GCF_000002295.2,13616,3598443077,98827259,5223,59809810,72674,108014
GCF_000002305.2,9796,2474929062,46138889,9688,46749900,55317,112381
GCF_000002315.4,9031,0,0,0,0,0,0
GCF_000002325.3,7425,0,0,0,0,0,0
GCF_000002335.3,7070,0,0,0,0,0,0
GCF_000002415.2,126793,27013691,48400,2748,1678596,2764,1165049
GCF_000002425.3,3218,477947608,24006670,1990,1331933,18938,74043
GCF_000002435.1,184922,11213615,21400,92,1312034,306,203113
GCF_000002445.1,185431,26075494,3590,12,2481190,51,1608198
GCF_000002495.2,242507,40979121,29800,53,6606598,216,823590
GCF_000002515.2,28985,10729447,0,0,0,0,0
GCF_000002525.2,4952,20550897,1144,0,0,19,2069334
GCF_000002545.3,284593,12338308,300,0,0,17,1100349
GCF_000002595.1,3055,120404952,14994368,1558,1695175,11385,44607
GCF_000002655.1,330879,29384958,575000,0,0,19,2460113
GCF_000002715.2,344612,27859441,8800,143,2493640,231,749511
GCF_000002725.2,347515,32855089,0,0,0,0,0
GCF_000002765.3,5833,23270305,641,0,0,24,1418244
GCF_000002775.3,3694,0,0,0,0,0,0
GCF_000002825.2,412133,176420065,818393,64769,27122,72950,4901
GCF_000002845.2,420245,32068771,81705,0,0,955,63680
GCF_000002855.3,5061,34006671,44968,20,2525243,470,114002
GCF_000002865.3,487148,41709928,2984422,219,1073601,2144,49874
GCF_000002875.2,435258,32122061,19961,0,0,278,302093
GCF_000002945.1,4896,12591251,400,0,0,8,2923134
GCF_000002985.6,6239,100286401,0,0,0,0,0
GCF_000002995.3,6279,93659149,6531325,24286,41308,26589,20202
GCF_000003025.6,9823,0,0,0,0,0,0
GCF_000003055.6,9913,0,0,0,0,0,0
GCF_000003085.2,352914,23125449,0,0,0,5687,7710
GCF_000003125.1,441959,35685443,127013,820,4363329,960,897397
GCF_000003135.1,548480,2396359,23501,114,323391,140,137057
GCF_000003195.3,4558,0,0,0,0,0,0
GCF_000003205.7,9913,0,0,0,0,0,0
GCF_000003215.1,455631,4127750,1700,0,0,31,526133
GCF_000003225.3,5874,8358125,200,0,0,10,1979170
GCF_000003515.1,336963,22349738,181667,45,5232914,583,80843
GCF_000003605.2,10224,775840395,133616703,54120,245820,135721,10074
GCF_000003625.3,9986,2737462810,133467217,3318,35972871,84024,64648
GCF_000003645.1,526973,5269725,24100,0,0,241,53899
GCF_000003745.3,29760,486196837,15054708,2061,3426264,14634,102851
GCF_000003815.1,7739,521895125,41489212,398,2586727,41927,27925
GCF_000003835.1,306902,12114892,34973,9,1874050,88,266609
GCF_000003855.2,559298,0,0,0,0,0,0
GCF_000003925.1,526997,5561906,20000,0,0,200,84268
GCF_000003955.1,526994,5790501,41200,0,0,412,26721
GCF_000004015.4,7159,1383974186,73881199,4757,1547048,36205,82618
GCF_000004075.2,3659,0,0,0,0,0,0
GCF_000004095.1,6087,852170992,66680049,20916,96317,126669,10112
GCF_000004155.1,653667,0,0,0,0,0,0
GCF_000004195.3,8364,0,0,0,0,0,0
GCF_000004255.2,81972,0,0,0,0,0,0
GCF_000004335.2,9646,2299509015,54196184,81467,1281781,200593,39886
GCF_000004515.4,3847,0,0,0,0,0,0
GCF_000004555.1,6238,108478526,3039139,12,14512975,5075,45155
GCF_000004665.1,9483,0,0,0,0,0,0
GCF_000004695.1,44689,34204973,23000,41,5450249,261,341816
GCF_000004825.1,670386,32970186,2100,43,1505626,64,1220979
GCF_000004985.1,744533,40964085,4668769,784,401612,1977,159679
GCF_000005005.2,4577,0,0,0,0,0,0
GCF_000005115.1,7217,230993012,17074195,13749,4599533,20532,95247
GCF_000005135.1,7220,152712140,7628121,5124,18748788,7610,453616
GCF_000005155.2,7222,200467819,14377150,17440,8399593,24157,91192
GCF_000005175.2,7230,193826310,13618479,6841,24764193,11874,121517
GCF_000005195.2,7234,188374079,12790523,12838,1869541,26813,20311
GCF_000005215.3,7238,166592095,9338570,14731,2123299,21426,42955
GCF_000005245.1,7244,206026697,16820834,13530,10161210,18382,120091
GCF_000005395.1,5823,17954629,871,0,0,7500,4226
GCF_000005505.2,15368,0,0,0,0,0,0
GCF_000005575.2,7165,265027044,12572948,8145,12309988,16825,85548
GCF_000005825.2,398511,4249248,0,0,0,0,0
GCF_000005845.2,511145,4641652,0,0,0,0,0
GCF_000005925.1,7260,235516348,11906320,14838,4511350,20358,180217
GCF_000005975.2,7245,165709965,3111989,8123,21770863,13441,115562
GCF_000006175.1,456320,1936387,0,0,0,0,0
GCF_000006255.1,561896,90891856,21908067,1242,322842,10568,19255
GCF_000006275.2,332952,36892344,62700,331,2388123,958,103582
GCF_000006295.1,121224,110781312,2413850,1882,497057,8555,34097
GCF_000006335.2,294747,14630139,54540,24,1654078,128,221103
GCF_000006355.1,5851,23462187,779500,0,0,204,245017
GCF_000006405.1,423536,86605074,559400,17897,157560,23491,9619
GCF_000006425.1,353151,8743570,397,0,0,1445,14504
GCF_000006445.2,4959,12181948,725,0,0,15,993818
GCF_000006515.1,441375,9245251,6515,84,723783,97,520347
GCF_000006565.2,383379,0,0,0,0,0,0
GCF_000006605.1,306537,2476822,0,0,0,0,0
GCF_000006625.1,273119,751719,0,0,0,0,0
GCF_000006645.1,187410,4701745,0,0,0,0,0
GCF_000006665.1,155864,5620522,4001,0,0,3,3798696
GCF_000006685.1,243161,1080451,0,0,0,0,0
GCF_000006725.1,160492,2731750,0,0,0,0,0
GCF_000006745.1,243277,4033464,0,0,0,0,0
GCF_000006765.1,208964,6264404,0,0,0,0,0
GCF_000006785.2,160490,1852433,0,0,0,0,0
GCF_000006805.1,64091,2571010,0,0,0,0,0
GCF_000006825.1,272843,2257487,0,0,0,0,0
GCF_000006845.1,242231,2153922,0,0,0,0,0
GCF_000006865.1,272623,2365589,0,0,0,0,0
GCF_000006885.1,170187,2160842,0,0,0,0,0
GCF_000006905.1,190650,4016947,0,0,0,0,0
GCF_000006925.2,198214,4828820,0,0,0,0,0
GCF_000006945.2,99287,4951383,0,0,0,0,0
GCF_000006965.1,266834,6691694,0,0,0,0,0
GCF_000006985.1,194439,2154946,0,0,0,0,0
GCF_000007005.1,273057,2992245,0,0,0,0,0
GCF_000007025.1,272944,1268755,0,0,0,0,0
GCF_000007045.1,171101,2038615,0,0,0,0,0
GCF_000007065.1,192952,4096345,0,0,0,0,0
GCF_000007085.1,273068,2689445,0,0,0,0,0
GCF_000007105.1,264203,2056363,0,0,0,0,0
GCF_000007125.1,224914,3294931,0,0,0,0,0
GCF_000007145.1,190485,5076188,0,0,0,0,0
GCF_000007165.1,190486,5274174,0,0,0,0,0
GCF_000007205.1,182082,1225935,0,0,0,0,0
GCF_000007245.1,183190,2521148,0,0,0,0,0
GCF_000007265.1,208435,2160267,0,0,0,0,0
GCF_000007285.1,186103,1895017,0,0,0,0,0
GCF_000007305.1,186497,1908256,0,0,0,0,0
GCF_000007325.1,190304,2174500,0,0,0,0,0
GCF_000007345.1,188937,5751492,0,0,0,0,0
GCF_000007365.1,198804,641454,0,0,0,0,0
GCF_000007405.1,198215,4599354,0,0,0,0,0
GCF_000007425.1,198466,1900521,0,0,0,0,0
GCF_000007445.1,199310,5231428,0,0,0,0,0
GCF_000007465.2,210007,2032925,0,0,0,0,0
GCF_000007485.1,203267,927303,0,0,0,0,0
GCF_000007505.1,204722,3315175,0,0,0,0,0
GCF_000007525.1,206672,2260266,0,0,0,0,0
GCF_000007545.1,209261,4791961,0,0,0,0,0
GCF_000007565.2,160488,6181873,0,0,0,0,0
GCF_000007585.1,242619,2343476,0,0,0,0,0
GCF_000007605.1,227941,1181356,0,0,0,0,0
GCF_000007625.1,212717,2873333,0,0,0,0,0
GCF_000007645.1,176280,2564615,0,0,0,0,0
GCF_000007665.1,281090,2584158,0,0,0,0,0
GCF_000007685.1,267671,4627366,0,0,0,0,0
GCF_000007705.1,243365,4751080,0,0,0,0,0
GCF_000007725.1,224915,618379,0,0,0,0,0
GCF_000007745.1,221988,2314078,0,0,0,0,0
GCF_000007765.2,227377,2032807,0,0,0,0,0
GCF_000007785.1,226185,3359974,0,0,0,0,0
GCF_000007805.1,223283,6538260,0,0,0,0,0
GCF_000007825.1,226900,5427083,0,0,0,0,0
GCF_000007845.1,198094,5227293,0,0,0,0,0
GCF_000007865.1,262316,4829781,0,0,0,0,0
GCF_000007885.1,229193,4803217,0,0,0,0,0
GCF_000007905.1,235279,1799146,0,0,0,0,0
GCF_000007925.1,167539,1751080,0,0,0,0,0
GCF_000007945.1,233412,1698955,0,0,0,0,0
GCF_000007985.2,243231,3814128,0,0,0,0,0
GCF_000008005.1,222523,5432652,0,0,0,0,0
GCF_000008025.1,163164,1267782,0,0,0,0,0
GCF_000008045.1,257363,1111496,0,0,0,0,0
GCF_000008065.1,257314,1992676,0,0,0,0,0
GCF_000008105.1,321314,4944000,0,0,0,0,0
GCF_000008125.1,262724,2127482,0,0,0,0,0
GCF_000008145.1,262698,3286445,0,0,0,0,0
