taxid,gene,gene_length,exon,exon_length,mRNA,mRNA_length,CDS,CDS_length
35238, 11, 979.0909090909091,0,0, 11, 1011.3636363636364,0,0
1675553, 89, 548.6629213483146,0,0, 88, 554.8863636363636,0,0
999288, 6, 558.0,0,0, 6, 559.0,0,0
101764, 6, 1400.5,0,0, 6, 1400.5,0,0
665079, 40380, 390.8897473997028, 40571, 389.5105617312859, 14637, 1326.3022477283596, 14446, 1342.5672158382943
1603555, 1814, 813.6841234840132, 53, 156.33962264150944, 1860, 798.0983870967742,0,0
439015, 2, 4012.5,0,0, 2, 4012.5,0,0
439014, 3, 1235.0,0,0, 3, 1235.0,0,0
439016, 2, 3718.5,0,0, 2, 3718.5,0,0
1685744, 2, 763.5,0,0, 2, 763.5,0,0
1685745, 2, 811.5,0,0, 2, 811.5,0,0
1685746, 3, 669.0,0,0, 2, 1081.0,0,0
1685747, 2, 679.5,0,0, 2, 679.5,0,0
1685740, 2, 1074.0,0,0, 2, 1074.0,0,0
1685741, 2, 799.5,0,0, 2, 799.5,0,0
1081054, 7, 963.0,0,0, 7, 963.0,0,0
1081055, 7, 1151.5714285714287,0,0, 7, 1151.5714285714287,0,0
435488, 1, 351.0,0,0, 1, 351.0,0,0
1498212, 201, 673.223880597015, 19, 75.63157894736842, 220, 621.6136363636364,0,0
1685749, 2, 735.0,0,0, 2, 735.0,0,0
1923148, 1, 8763.0,0,0, 1, 8763.0,0,0
1923147, 2, 4605.0,0,0, 2, 4605.0,0,0
1923146, 1, 8538.0,0,0, 1, 8538.0,0,0
1923145, 1, 8715.0,0,0, 1, 8715.0,0,0
1923144, 1, 8226.0,0,0, 1, 8226.0,0,0
1923143, 1, 9171.0,0,0, 1, 9171.0,0,0
1923142, 2, 3817.5,0,0, 2, 3817.5,0,0
1923141, 1, 8715.0,0,0, 1, 8715.0,0,0
1923140, 1, 8571.0,0,0, 1, 8571.0,0,0
1590370, 11, 2846.181818181818,0,0, 10, 3130.7,0,0
1679933, 12, 660.25,0,0, 8, 1080.875,0,0
1384461, 8, 4989.75,0,0, 7, 5702.428571428572,0,0
1214459, 6, 1297.5,0,0, 6, 1297.5,0,0
382359, 226, 769.8053097345132, 6, 75.16666666666667, 232, 751.8405172413793,0,0
1093141, 8853, 358.5763018185926, 9090, 395.6348734873487, 3558, 1361.9558740865655, 3554, 1362.1316826111424
1922819, 3, 993.0,0,0, 3, 993.0,0,0
1922812, 2, 1375.5,0,0, 2, 1375.5,0,0
1922813, 2, 1048.5,0,0, 2, 1048.5,0,0
1922810, 3, 997.0,0,0, 3, 997.0,0,0
1922811, 3, 1116.0,0,0, 3, 1116.0,0,0
1922816, 2, 1636.5,0,0, 2, 1636.5,0,0
1922817, 4, 987.75,0,0, 4, 987.75,0,0
1922814, 2, 2374.5,0,0, 2, 2374.5,0,0
1922815, 2, 1587.0,0,0, 2, 1587.0,0,0
389469, 52, 651.3461538461538,0,0, 52, 651.3461538461538,0,0
926844, 1, 948.0,0,0, 1, 948.0,0,0
1349409, 1522, 898.7325886990801, 1, 71.0, 1488, 923.304435483871,0,0
1747288, 27, 652.0,0,0, 27, 652.0,0,0
1747289, 57, 598.8421052631579,0,0, 57, 598.8421052631579,0,0
191463, 6, 528.0,0,0, 6, 528.0,0,0
1923368, 2, 3589.5,0,0, 2, 3589.5,0,0
486809, 8, 616.875,0,0, 8, 616.875,0,0
1747282, 55, 764.7818181818182,0,0, 55, 764.7818181818182,0,0
1923492, 3, 3302.0,0,0, 3, 3302.0,0,0
1923367, 1, 9300.0,0,0, 1, 9300.0,0,0
1923366, 2, 4257.0,0,0, 2, 4257.0,0,0
1923365, 3, 1464.0,0,0, 3, 1464.0,0,0
1747287, 95, 528.1578947368421,0,0, 95, 528.1578947368421,0,0
885867, 49, 840.265306122449,0,0, 52, 865.25,0,0
